id,year,fare,dist,passen,concen
1,1997,106,528,152,0.8385999798774719
1,1998,106,528,265,0.8133000135421753
1,1999,113,528,336,0.826200008392334
1,2000,123,528,298,0.8612000346183777
2,1997,104,861,282,0.579800009727478
2,1998,105,861,178,0.5816999673843384
2,1999,115,861,204,0.7319000363349915
2,2000,129,861,190,0.5386000275611877
3,1997,207,852,241,0.8180000185966492
3,1998,188,852,253,0.8172000050544739
3,1999,229,852,244,0.7998000383377075
3,2000,247,852,244,0.7096999883651733
4,1997,243,724,233,0.4604000151157379
4,1998,226,724,248,0.46140000224113464
4,1999,229,724,224,0.4334000051021576
4,2000,176,724,339,0.3716000020503998
5,1997,119,1073,396,0.4571000039577484
5,1998,105,1073,529,0.5631999969482422
5,1999,121,1073,494,0.5008000135421753
5,2000,109,1073,710,0.5196999907493591
6,1997,181,318,237,0.9100000262260437
6,1998,197,318,213,0.9068000316619873
6,1999,190,318,209,0.928600013256073
6,2000,171,318,163,0.9693000316619873
7,1997,200,1270,168,0.6694999933242798
7,1998,218,1270,185,0.7081999778747559
7,1999,229,1270,178,0.6714000105857849
7,2000,220,1270,197,0.6231000423431396
8,1997,134,614,173,0.5979000329971313
8,1998,153,614,157,0.6349999904632568
8,1999,145,614,176,0.5599000453948975
8,2000,161,614,192,0.6419999599456787
9,1997,149,1673,200,0.2012999951839447
9,1998,155,1673,194,0.20639999210834503
9,1999,162,1673,214,0.21969999372959137
9,2000,152,1673,310,0.2847000062465668
10,1997,271,1976,171,0.2443000078201294
10,1998,242,1976,155,0.25679999589920044
10,1999,221,1976,173,0.28450000286102295
10,2000,214,1976,187,0.3000999987125397
11,1997,181,1118,364,0.4522000253200531
11,1998,182,1118,374,0.48820000886917114
11,1999,183,1118,368,0.41130000352859497
11,2000,188,1118,383,0.4847000241279602
12,1997,97,580,1244,0.6729000210762024
12,1998,109,580,962,0.6530000567436218
12,1999,110,580,980,0.6653000116348267
12,2000,117,580,954,0.6883000135421753
13,1997,136,349,400,0.8252999782562256
13,1998,186,349,353,0.7903000116348267
13,1999,184,349,349,0.7998999953269958
13,2000,198,349,319,0.7191999554634094
14,1997,68,223,278,0.7919999957084656
14,1998,71,223,255,0.778700053691864
14,1999,72,223,255,0.8664000034332275
14,2000,75,223,241,0.846500039100647
15,1997,132,745,437,0.4941999912261963
15,1998,148,745,385,0.47450000047683716
15,1999,137,745,440,0.4952000081539154
15,2000,151,745,443,0.49310001730918884
16,1997,127,719,197,0.5813000202178955
16,1998,146,719,184,0.6698000431060791
16,1999,135,719,187,0.7470999956130981
16,2000,149,719,178,0.8061000108718872
17,1997,83,487,761,0.7116999626159668
17,1998,110,487,602,0.9228000044822693
17,1999,111,487,597,0.9233999848365784
17,2000,105,487,678,0.9279000163078308
18,1997,103,677,935,0.8149999976158142
18,1998,112,677,886,0.8047000169754028
18,1999,120,677,842,0.8727999925613403
18,2000,131,677,806,0.8754000067710876
19,1997,190,982,189,0.6841000318527222
19,1998,186,982,183,0.6499999761581421
19,1999,202,982,182,0.5695000290870667
19,2000,193,982,181,0.6575000286102295
20,1997,224,1817,441,0.2793000042438507
20,1998,240,1817,363,0.24700000882148743
20,1999,265,1817,317,0.2345000058412552
20,2000,250,1817,355,0.2947999835014343
21,1997,128,889,207,0.6642000079154968
21,1998,143,889,300,0.8355000019073486
21,1999,145,889,379,0.8801999688148499
21,2000,154,889,372,0.875
22,1997,108,632,194,0.762499988079071
22,1998,113,632,201,0.6855999827384949
22,1999,124,632,194,0.6517999768257141
22,2000,131,632,178,0.6583000421524048
23,1997,134,1554,200,0.5519999861717224
23,1998,164,1554,198,0.4991999864578247
23,1999,158,1554,194,0.4722999930381775
23,2000,169,1554,197,0.5633000135421753
24,1997,66,328,1492,0.8162999749183655
24,1998,65,328,1362,0.8334999680519104
24,1999,64,328,1449,0.8276999592781067
24,2000,68,328,1454,0.8253999948501587
25,1997,144,1113,189,0.31929999589920044
25,1998,151,1113,170,0.2921999990940094
25,1999,153,1113,187,0.30570000410079956
25,2000,156,1113,208,0.3158999979496002
26,1997,112,494,209,0.6530999541282654
26,1998,120,494,193,0.7085999846458435
26,1999,124,494,176,0.5034000277519226
26,2000,124,494,167,0.5098000168800354
27,1997,137,610,183,0.7373000383377075
27,1998,150,610,167,0.75
27,1999,144,610,177,0.6060000061988831
27,2000,158,610,182,0.7533999681472778
28,1997,109,628,368,0.844499945640564
28,1998,113,628,374,0.7524999976158142
28,1999,124,628,369,0.8113999962806702
28,2000,133,628,370,0.8389999866485596
29,1997,133,897,456,0.6876999735832214
29,1998,133,897,315,0.42320001125335693
29,1999,143,897,212,0.34549999237060547
29,2000,146,897,202,0.3449999988079071
30,1997,136,871,224,0.5468000173568726
30,1998,149,871,199,0.5647000074386597
30,1999,151,871,206,0.5769000053405762
30,2000,155,871,205,0.6162999868392944
31,1997,149,1181,252,0.2963999807834625
31,1998,146,1181,261,0.3508000075817108
31,1999,150,1181,284,0.4838999807834625
31,2000,156,1181,288,0.4916999936103821
32,1997,132,935,150,0.6215999722480774
32,1998,149,935,164,0.6753000020980835
32,1999,150,935,158,0.5911999940872192
32,2000,156,935,165,0.5687000155448914
33,1997,183,1648,411,0.36820000410079956
33,1998,173,1648,395,0.35830003023147583
33,1999,196,1648,390,0.29319998621940613
33,2000,226,1648,337,0.4041000008583069
34,1997,274,655,157,0.8677999973297119
34,1998,245,655,156,0.890999972820282
34,1999,270,655,131,0.8455999493598938
34,2000,295,655,138,0.8348999619483948
35,1997,111,907,346,0.5252999663352966
35,1998,115,907,222,0.6241999864578247
35,1999,114,907,407,0.4852999746799469
35,2000,118,907,490,0.5708000063896179
36,1997,109,412,151,0.8989999890327454
36,1998,119,412,141,0.8878999948501587
36,1999,118,412,148,0.887499988079071
36,2000,122,412,147,0.8834999799728394
37,1997,67,324,816,0.7300000190734863
37,1998,70,324,785,0.7176000475883484
37,1999,70,324,776,0.773099958896637
37,2000,72,324,729,0.7714999914169312
38,1997,110,535,242,0.8876999616622925
38,1998,117,535,244,0.6650000214576721
38,1999,115,535,256,0.6664000153541565
38,2000,121,535,272,0.5917999744415283
39,1997,98,759,157,0.9729000329971313
39,1998,117,759,159,0.9670999646186829
39,1999,117,759,169,0.9807000160217285
39,2000,124,759,161,0.9560999870300293
40,1997,123,125,102,0.9107000231742859
40,1998,127,125,101,0.905500054359436
40,1999,130,125,101,0.9988999962806702
40,2000,158,125,87,0.9962000250816345
41,1997,207,812,318,0.7506999969482422
41,1998,207,812,349,0.7480999827384949
41,1999,224,812,375,0.7373999953269958
41,2000,248,812,415,0.6897000074386597
42,1997,167,576,1065,0.6134999990463257
42,1998,189,576,837,0.9010999798774719
42,1999,132,576,1187,0.7121999859809875
42,2000,173,576,1268,0.6161999702453613
43,1997,173,449,155,0.9007999897003174
43,1998,152,449,178,0.9058000445365906
43,1999,143,449,183,0.9330999851226807
43,2000,185,449,156,0.9210000038146973
44,1997,237,946,1622,0.7173000574111938
44,1998,163,946,1981,0.7888000011444092
44,1999,134,946,2421,0.7075999975204468
44,2000,177,946,2188,0.7487000226974487
45,1997,185,712,252,0.8294999599456787
45,1998,119,712,410,0.5845000147819519
45,1999,100,712,561,0.5433000326156616
45,2000,115,712,547,0.5087000131607056
46,1997,178,259,241,0.9526000022888184
46,1998,178,259,250,0.9591000080108643
46,1999,205,259,232,0.965399980545044
46,2000,218,259,206,0.9613999724388123
47,1997,123,227,783,0.552299976348877
47,1998,183,227,633,0.6852999925613403
47,1999,211,227,554,0.7023999691009521
47,2000,250,227,513,0.6904000043869019
48,1997,125,605,3369,0.4566999673843384
48,1998,123,605,3826,0.46080002188682556
48,1999,133,605,3599,0.49150002002716064
48,2000,173,605,3415,0.459199994802475
49,1997,269,373,400,0.9551999568939209
49,1998,229,373,454,0.9676999449729919
49,1999,252,373,410,0.9594999551773071
49,2000,216,373,508,0.9567999839782715
50,1997,121,554,857,0.5072000026702881
50,1998,153,554,714,0.5195000171661377
50,1999,184,554,683,0.4863000214099884
50,2000,197,554,616,0.5367000102996826
51,1997,174,1186,186,0.7235000133514404
51,1998,237,1186,132,0.6680000424385071
51,1999,210,1186,151,0.6143999695777893
51,2000,205,1186,170,0.7328000068664551
52,1997,209,191,129,0.9805999994277954
52,1998,221,191,110,0.9763000011444092
52,1999,231,191,94,0.980400025844574
52,2000,259,191,78,0.9676999449729919
53,1997,165,446,582,0.8899999856948853
53,1998,179,446,523,0.9398999810218811
53,1999,200,446,483,0.9112000465393066
53,2000,206,446,450,0.8647000193595886
54,1997,133,732,2621,0.5135999917984009
54,1998,144,732,2683,0.4758000075817108
54,1999,143,732,2709,0.4852999746799469
54,2000,189,732,2644,0.47679999470710754
55,1997,190,432,280,0.9111000299453735
55,1998,112,432,521,0.6830999851226807
55,1999,119,432,584,0.6594000458717346
55,2000,116,432,642,0.6274999976158142
56,1997,168,1199,1154,0.4065999984741211
56,1998,254,1199,1059,0.40959998965263367
56,1999,215,1199,1158,0.403300017118454
56,2000,221,1199,1303,0.4913000166416168
57,1997,120,594,1252,0.5216000080108643
57,1998,109,594,1421,0.4787999987602234
57,1999,115,594,1549,0.47589999437332153
57,2000,132,594,1415,0.4909000098705292
58,1997,110,644,115,0.756600022315979
58,1998,102,644,188,0.8543000221252441
58,1999,110,644,174,0.8733999729156494
58,2000,124,644,184,0.8358999490737915
59,1997,120,581,1694,0.7829000353813171
59,1998,114,581,1644,0.7339000105857849
59,1999,126,581,1588,0.743399977684021
59,2000,137,581,1653,0.7172000408172607
60,1997,121,515,376,0.8080999851226807
60,1998,112,515,425,0.7250000238418579
60,1999,127,515,420,0.6823999881744385
60,2000,127,515,460,0.7254000306129456
61,1997,224,306,325,0.9147000312805176
61,1998,128,306,551,0.7516000270843506
61,1999,101,306,682,0.7130000591278076
61,2000,110,306,710,0.6650000214576721
62,1997,249,859,533,0.821399986743927
62,1998,129,859,874,0.7508999705314636
62,1999,131,859,918,0.8210999965667725
62,2000,197,859,759,0.8162000179290771
63,1997,123,692,1352,0.4810999929904938
63,1998,126,692,1441,0.4239000082015991
63,1999,133,692,1518,0.4878000020980835
63,2000,151,692,1554,0.4527999758720398
64,1997,206,432,442,0.8209999799728394
64,1998,199,432,491,0.8558000326156616
64,1999,214,432,456,0.8448999524116516
64,2000,235,432,434,0.8269000053405762
65,1997,237,341,198,0.9434999823570251
65,1998,234,341,194,0.961899995803833
65,1999,247,341,201,0.9702999591827393
65,2000,269,341,176,0.9567999839782715
66,1997,98,270,885,0.8512000441551208
66,1998,93,270,1027,0.7278000116348267
66,1999,94,270,1032,0.7642999887466431
66,2000,119,270,955,0.7077999711036682
67,1997,114,693,887,0.7466999888420105
67,1998,162,693,799,0.6780000329017639
67,1999,135,693,930,0.7504000067710876
67,2000,168,693,808,0.6366999745368958
68,1997,181,1747,721,0.6805999875068665
68,1998,217,1747,688,0.6765000224113464
68,1999,237,1747,715,0.5985000133514404
68,2000,221,1747,816,0.6751999855041504
69,1997,156,303,179,0.832099974155426
69,1998,204,303,133,0.9909999966621399
69,1999,232,303,121,0.9811000227928162
69,2000,232,303,127,0.9829000234603882
70,1997,184,453,216,0.8511000275611877
70,1998,189,453,219,0.9269999861717224
70,1999,221,453,201,0.9033000469207764
70,2000,226,453,207,0.8851999640464783
71,1997,257,1946,1520,0.6060000061988831
71,1998,279,1946,1441,0.649899959564209
71,1999,293,1946,1440,0.5579000115394592
71,2000,301,1946,1537,0.636900007724762
72,1997,152,321,445,0.895799994468689
72,1998,186,321,370,0.9771000146865845
72,1999,244,321,309,0.9613999724388123
72,2000,272,321,272,0.9508000016212463
73,1997,88,332,1142,0.6660000085830688
73,1998,85,332,1246,0.6129999756813049
73,1999,97,332,1173,0.6654000282287598
73,2000,106,332,1120,0.5881999731063843
74,1997,179,595,816,0.5795999765396118
74,1998,109,595,1513,0.530299961566925
74,1999,121,595,1566,0.5306000113487244
74,2000,134,595,1591,0.5759000182151794
75,1997,207,669,366,0.42800000309944153
75,1998,208,669,326,0.4777999818325043
75,1999,198,669,394,0.5425999760627747
75,2000,208,669,401,0.5351999998092651
76,1997,215,906,908,0.4829000234603882
76,1998,200,906,963,0.4993000030517578
76,1999,200,906,1068,0.4810999929904938
76,2000,141,906,1192,0.5460000038146973
77,1997,110,302,290,0.8119999766349792
77,1998,158,302,231,0.9826000332832336
77,1999,159,302,208,0.987500011920929
77,2000,165,302,176,0.9889000058174133
78,1997,249,214,357,0.9848000407218933
78,1998,241,214,349,0.9879000186920166
78,1999,253,214,312,0.9923000335693359
78,2000,274,214,303,0.9909999966621399
79,1997,103,425,922,0.8294000029563904
79,1998,102,425,1096,0.7791999578475952
79,1999,110,425,1076,0.7266000509262085
79,2000,131,425,998,0.6656000018119812
80,1997,206,756,5083,0.5529000163078308
80,1998,162,756,6172,0.5906999707221985
80,1999,160,756,6793,0.649899959564209
80,2000,168,756,6768,0.6226999759674072
81,1997,106,508,144,0.9155000448226929
81,1998,86,508,188,0.9480000138282776
81,1999,84,508,254,0.9524999856948853
81,2000,107,508,272,0.9599999785423279
82,1997,145,516,401,0.9129000306129456
82,1998,106,516,472,0.935699999332428
82,1999,100,516,535,0.914400041103363
82,2000,132,516,439,0.9142000079154968
83,1997,193,761,204,0.7332000136375427
83,1998,177,761,249,0.7851000428199768
83,1999,206,761,218,0.7587999701499939
83,2000,204,761,254,0.716200053691864
84,1997,222,822,185,0.6637000441551208
84,1998,214,822,229,0.7358999848365784
84,1999,224,822,206,0.7298000454902649
84,2000,232,822,205,0.7183000445365906
85,1997,274,1902,183,0.5968999862670898
85,1998,265,1902,216,0.6080999970436096
85,1999,236,1902,267,0.3934999704360962
85,2000,286,1902,221,0.5325000286102295
86,1997,112,403,1700,0.8198999762535095
86,1998,113,403,2011,0.7595999836921692
86,1999,125,403,1943,0.6748999953269958
86,2000,133,403,1982,0.6584999561309814
87,1997,130,665,2047,0.5741999745368958
87,1998,125,665,2129,0.5292999744415283
87,1999,121,665,2251,0.6098999977111816
87,2000,129,665,2318,0.5877000093460083
88,1997,259,1587,710,0.5658000111579895
88,1998,275,1587,674,0.6277000308036804
88,1999,295,1587,683,0.5809999704360962
88,2000,284,1587,716,0.6050999760627747
89,1997,216,526,527,0.5133000016212463
89,1998,214,526,580,0.527999997138977
89,1999,218,526,573,0.5437999963760376
89,2000,137,526,803,0.4657000005245209
90,1997,272,2173,327,0.6994999647140503
90,1998,286,2173,341,0.7024999856948853
90,1999,310,2173,311,0.6686000227928162
90,2000,320,2173,353,0.6794000267982483
91,1997,274,904,224,0.7932000160217285
91,1998,269,904,197,0.8137000203132629
91,1999,250,904,175,0.7757999897003174
91,2000,230,904,230,0.8342999815940857
92,1997,144,356,1091,0.6743000149726868
92,1998,110,356,1297,0.7017999887466431
92,1999,103,356,1441,0.6545999646186829
92,2000,117,356,1411,0.5526999831199646
93,1997,230,481,436,0.9460999965667725
93,1998,115,481,721,0.7580000162124634
93,1999,175,481,552,0.9027999639511108
93,2000,194,481,535,0.9426999688148499
94,1997,206,750,211,0.7855000495910645
94,1998,193,750,211,0.8280999660491943
94,1999,218,750,163,0.7651999592781067
94,2000,197,750,193,0.8061000108718872
95,1997,272,2094,190,0.6701000332832336
95,1998,248,2094,229,0.6542999744415283
95,1999,285,2094,218,0.5
95,2000,305,2094,244,0.5879999995231628
96,1997,241,1590,433,0.7585999965667725
96,1998,240,1590,487,0.70660001039505
96,1999,252,1590,467,0.6547000408172607
96,2000,234,1590,530,0.6295000314712524
97,1997,203,874,368,0.7195999622344971
97,1998,201,874,396,0.8134999871253967
97,1999,196,874,435,0.7563999891281128
97,2000,224,874,418,0.7298000454902649
98,1997,268,1892,440,0.6416999697685242
98,1998,298,1892,436,0.6790000200271606
98,1999,296,1892,485,0.5706000328063965
98,2000,303,1892,523,0.6481999754905701
99,1997,306,2139,1185,0.6348000168800354
99,1998,341,2139,1045,0.6769999861717224
99,1999,361,2139,1081,0.5979000329971313
99,2000,370,2139,1237,0.6384999752044678
100,1997,344,2117,265,0.6116999983787537
100,1998,357,2117,258,0.5688000321388245
100,1999,366,2117,291,0.5491999983787537
100,2000,407,2117,372,0.5760999917984009
101,1997,359,1920,276,0.6315000057220459
101,1998,357,1920,293,0.6377000212669373
101,1999,358,1920,284,0.588100016117096
101,2000,347,1920,341,0.5966999530792236
102,1997,90,215,351,0.8903999924659729
102,1998,87,215,439,0.6897000074386597
102,1999,79,215,478,0.741100013256073
102,2000,97,215,453,0.7487000226974487
103,1997,272,2183,578,0.5654000043869019
103,1998,314,2183,562,0.6669999957084656
103,1999,318,2183,532,0.5654000043869019
103,2000,343,2183,607,0.6029999852180481
104,1997,203,483,647,0.49810001254081726
104,1998,200,483,674,0.49619999527931213
104,1999,209,483,660,0.5131999850273132
104,2000,226,483,707,0.4936999976634979
105,1997,222,794,184,0.7597000002861023
105,1998,192,794,197,0.8032000064849854
105,1999,206,794,190,0.7494000196456909
105,2000,202,794,198,0.770799994468689
106,1997,114,406,1768,0.8073000311851501
106,1998,113,406,1894,0.7883999347686768
106,1999,126,406,1875,0.7404000163078308
106,2000,135,406,1769,0.6947000026702881
107,1997,202,674,213,0.7901999950408936
107,1998,187,674,239,0.7948000431060791
107,1999,194,674,213,0.7847000360488892
107,2000,233,674,188,0.7545999884605408
108,1997,103,264,135,0.5807999968528748
108,1998,80,264,195,0.7560999989509583
108,1999,95,264,225,0.7414000034332275
108,2000,112,264,217,0.6809999942779541
109,1997,174,540,2546,0.7384999990463257
109,1998,145,540,3175,0.7166999578475952
109,1999,131,540,3568,0.5152000188827515
109,2000,185,540,3195,0.560699999332428
110,1997,115,545,686,0.8504000306129456
110,1998,127,545,628,0.9737000465393066
110,1999,156,545,583,0.9758999347686768
110,2000,159,545,557,0.9694000482559204
111,1997,62,274,163,0.9384999871253967
111,1998,190,274,10,0.9456999897956848
111,1999,206,274,4,0.8888999819755554
111,2000,241,274,5,0.958299994468689
112,1997,56,406,168,0.9578999876976013
112,1998,67,406,118,0.9676999449729919
112,1999,84,406,80,0.9673000574111938
112,2000,252,406,3,1
113,1997,58,506,167,0.9778000116348267
113,1998,64,506,84,0.9794000387191772
113,1999,159,506,4,0.8181999921798706
113,2000,228,506,2,0.7058999538421631
114,1997,83,977,268,0.9846000075340271
114,1998,109,977,387,0.9919000267982483
114,1999,121,977,394,0.9948000311851501
114,2000,119,977,365,0.9934999942779541
115,1997,37,466,190,1
115,1998,83,466,66,0.9836000204086304
115,1999,86,466,123,1
115,2000,88,466,130,0.9983000159263611
116,1997,75,852,219,0.9642999768257141
116,1998,108,852,332,0.9846000075340271
116,1999,111,852,444,0.9908999800682068
116,2000,114,852,377,0.993399977684021
117,1997,162,1342,210,0.3057999908924103
117,1998,175,1342,224,0.3570999801158905
117,1999,177,1342,293,0.31780001521110535
117,2000,183,1342,436,0.5248000025749207
118,1997,241,1695,291,0.6258000135421753
118,1998,240,1695,264,0.5555999875068665
118,1999,350,1695,238,0.4872000217437744
118,2000,378,1695,252,0.36959999799728394
119,1997,180,972,520,0.6118999719619751
119,1998,191,972,557,0.6448000073432922
119,1999,207,972,604,0.5888000130653381
119,2000,246,972,645,0.5634000301361084
120,1997,77,183,1910,0.7116000652313232
120,1998,76,183,2077,0.5178999900817871
120,1999,82,183,2070,0.5950000286102295
120,2000,95,183,2035,0.7783999443054199
121,1997,203,769,269,0.4838000237941742
121,1998,243,769,289,0.5561000108718872
121,1999,265,769,309,0.5103999972343445
121,2000,266,769,413,0.5771999955177307
122,1997,109,525,373,0.9294999837875366
122,1998,121,525,348,0.9541000127792358
122,1999,116,525,382,0.8991000652313232
122,2000,125,525,353,0.9413999915122986
123,1997,65,280,200,0.9456999897956848
123,1998,71,280,197,0.984499990940094
123,1999,67,280,198,0.9730000495910645
123,2000,74,280,208,0.9854000210762024
124,1997,76,152,975,0.7569999694824219
124,1998,80,152,910,0.7658999562263489
124,1999,78,152,921,0.7158999443054199
124,2000,83,152,963,0.7067999839782715
125,1997,112,1085,505,0.61080002784729
125,1998,134,1085,433,0.6723000407218933
125,1999,136,1085,498,0.7268000245094299
125,2000,150,1085,484,0.7151000499725342
126,1997,180,1238,344,0.4090999960899353
126,1998,182,1238,396,0.5777000188827515
126,1999,169,1238,520,0.48900002241134644
126,2000,197,1238,506,0.4447999894618988
127,1997,81,335,292,0.9533999562263489
127,1998,89,335,284,0.9567999839782715
127,1999,90,335,284,0.9574999809265137
127,2000,95,335,290,0.9516000151634216
128,1997,79,290,198,0.9719000458717346
128,1998,86,290,155,0.9712000489234924
128,1999,86,290,179,0.9701999425888062
128,2000,90,290,163,0.9819999933242798
129,1997,109,754,201,0.7099999785423279
129,1998,120,754,208,0.7648000121116638
129,1999,121,754,251,0.7405000329017639
129,2000,141,754,257,0.7776000499725342
130,1997,116,446,188,0.5442000031471252
130,1998,129,446,191,0.6266999840736389
130,1999,128,446,212,0.6275999546051025
130,2000,141,446,215,0.6773000359535217
131,1997,267,1509,554,0.4572000205516815
131,1998,283,1509,530,0.40389999747276306
131,1999,346,1509,619,0.429500013589859
131,2000,373,1509,679,0.4375
132,1997,146,996,230,0.42640000581741333
132,1998,152,996,236,0.39590001106262207
132,1999,159,996,270,0.35099998116493225
132,2000,171,996,285,0.41439998149871826
133,1997,134,868,552,0.5040000081062317
133,1998,136,868,459,0.5141000151634216
133,1999,138,868,568,0.46650001406669617
133,2000,147,868,580,0.5145000219345093
134,1997,150,1163,221,0.28630000352859497
134,1998,157,1163,235,0.3313000202178955
134,1999,166,1163,240,0.3321000039577484
134,2000,179,1163,305,0.5127999782562256
135,1997,207,1501,255,0.3659000098705292
135,1998,208,1501,239,0.40549999475479126
135,1999,226,1501,297,0.3718999922275543
135,2000,238,1501,346,0.3977999985218048
136,1997,238,1471,477,0.8068000078201294
136,1998,210,1471,513,0.8783000111579895
136,1999,244,1471,567,0.7942000031471252
136,2000,278,1471,684,0.8037000298500061
137,1997,198,1764,171,0.34200000762939453
137,1998,188,1764,197,0.3302000164985657
137,1999,199,1764,212,0.2572999894618988
137,2000,219,1764,246,0.24450001120567322
138,1997,159,718,211,0.5688000321388245
138,1998,164,718,189,0.578000009059906
